PINCODE,CITY,STATE
520001,Vijayawada (Urban),ANDHRA PRADESH
521456,Ibrahimpatnam,ANDHRA PRADESH
521402,Krishna,ANDHRA PRADESH
521170,Krishna,ANDHRA PRADESH
521165,Krishna,ANDHRA PRADESH
520002,Vijayawada (Urban),ANDHRA PRADESH
520007,Vijayawada (Urban),ANDHRA PRADESH
520010,Vijayawada (Urban),ANDHRA PRADESH
520004,Vijayawada (Urban),ANDHRA PRADESH
521151,Krishna,ANDHRA PRADESH
520013,Vijayawada (Urban),ANDHRA PRADESH
521153,Vuyyuru,ANDHRA PRADESH
521104,Vijayawada,ANDHRA PRADESH
521139,Krishna,ANDHRA PRADESH
521137,Krishna,ANDHRA PRADESH
521108,Vijayawada (Rural),ANDHRA PRADESH
521403,Krishna,ANDHRA PRADESH
521401,Krishna,ANDHRA PRADESH
521109,Krishna,ANDHRA PRADESH
521235,Krishna,ANDHRA PRADESH
521110,Krishna,ANDHRA PRADESH
521245,Krishna,ANDHRA PRADESH
520012,Vijayawada (Urban),ANDHRA PRADESH
520015,Vijayawada (Urban),ANDHRA PRADESH
521211,Krishna,ANDHRA PRADESH
521102,Krishna,ANDHRA PRADESH
521182,Krishna,ANDHRA PRADESH
521178,Krishna,ANDHRA PRADESH
521101,Krishna,ANDHRA PRADESH
521225,Krishna,ANDHRA PRADESH
521456,Krishna,ANDHRA PRADESH
521175,Krishna,ANDHRA PRADESH
521181,Krishna,ANDHRA PRADESH
521227,Krishna,ANDHRA PRADESH
522329,Bapatla,ANDHRA PRADESH
533223,Kothapeta Taluk,ANDHRA PRADESH
533229,Kothapeta Taluk,ANDHRA PRADESH
516360,Proddatur,ANDHRA PRADESH
516421,Pulivendla,ANDHRA PRADESH
516484,Pulivendla,ANDHRA PRADESH
516289,Kamalapuram,ANDHRA PRADESH
516396,Pulivendla,ANDHRA PRADESH
516218,Cuddapah,ANDHRA PRADESH
516339,Kamalapuram,ANDHRA PRADESH
516216,Cuddapah,ANDHRA PRADESH
516454,Pulivedla,ANDHRA PRADESH
516350,Pulivendla,ANDHRA PRADESH
516474,Muddanur,ANDHRA PRADESH
516401,Pulivendla,ANDHRA PRADESH
516329,Pulivendla,ANDHRA PRADESH
516293,Cuddapah,ANDHRA PRADESH
516349,Pulivendla,ANDHRA PRADESH
516444,Muddanur,ANDHRA PRADESH
516321,Kamalapuram,ANDHRA PRADESH
516390,Pulivendla,ANDHRA PRADESH
516391,Pulivendla,ANDHRA PRADESH
516464,Muddanur,ANDHRA PRADESH
516310,Kamalapuram,ANDHRA PRADESH
516433,Jammalmadugu,ANDHRA PRADESH
516431,Proddatur,ANDHRA PRADESH
516175,Proddatur,ANDHRA PRADESH
516434,Jammalamadugu,ANDHRA PRADESH
516362,Proddatur,ANDHRA PRADESH
516359,Proddatur,ANDHRA PRADESH
516380,Muddanur,ANDHRA PRADESH
516439,Mylavaram,ANDHRA PRADESH
516172,Proddatur,ANDHRA PRADESH
516173,Proddatur,ANDHRA PRADESH
516411,Jammalamadugu,ANDHRA PRADESH
516432,Jammalamadugu,ANDHRA PRADESH
516309,Kamalapuram,ANDHRA PRADESH
516309,Yerraguntla,ANDHRA PRADESH
516361,Proddatur,ANDHRA PRADESH
516355,Proddatur,ANDHRA PRADESH
516311,Yerraguntla,ANDHRA PRADESH
516312,Yerraguntla,ANDHRA PRADESH
518217,,ANDHRA PRADESH
522004,Guntur,ANDHRA PRADESH
522201,,ANDHRA PRADESH
530048,Visakhapatnam (Rural),ANDHRA PRADESH
522265,Repalle,ANDHRA PRADESH
531036,Chodavaram,ANDHRA PRADESH
530016,Visakhapatnam (Urban),ANDHRA PRADESH
530020,Visakhapatnam (Urban),ANDHRA PRADESH
530017,Visakhapatnam (Urban),ANDHRA PRADESH
530002,Visakhapatnam (Urban),ANDHRA PRADESH
531019,Paravada,ANDHRA PRADESH
530052,,ANDHRA PRADESH
530051,Pendurthi,ANDHRA PRADESH
530049,Visakhapatnam (Rural),ANDHRA PRADESH
515413,Tadpatri,ANDHRA PRADESH
515722,,ANDHRA PRADESH
532410,Etcherla,ANDHRA PRADESH
535006,Denkada,ANDHRA PRADESH
518007,Kurnool,ANDHRA PRADESH
518674,Allagadda,ANDHRA PRADESH
516356,Chapad,ANDHRA PRADESH
516002,Cuddapah,ANDHRA PRADESH
515202,Hindupur,ANDHRA PRADESH
515134,Puttaparthi,ANDHRA PRADESH
522005,Guntur,ANDHRA PRADESH
535213,Denkada,ANDHRA PRADESH
522102,Bapatla,ANDHRA PRADESH
530003,Visakhapatnam,ANDHRA PRADESH
530001,Visakhapatnam,ANDHRA PRADESH
530022,Visakhapatnam,ANDHRA PRADESH
530002,Visakhapatnam,ANDHRA PRADESH
530004,Visakhapatnam,ANDHRA PRADESH
530016,Visakhapatnam,ANDHRA PRADESH
530012,Visakhapatnam,ANDHRA PRADESH
530008,Visakhapatnam,ANDHRA PRADESH
530009,Visakhapatnam,ANDHRA PRADESH
530007,Visakhapatnam,ANDHRA PRADESH
530005,Visakhapatnam,ANDHRA PRADESH
530014,Visakhapatnam,ANDHRA PRADESH
530032,Visakhapatnam,ANDHRA PRADESH
521226,A.Konduru,ANDHRA PRADESH
521202,Nuzvid,ANDHRA PRADESH
530009,Visakhapatnam Rural,ANDHRA PRADESH
518349,Tuggali,ANDHRA PRADESH
535594,Jiyyammavalsa,ANDHRA PRADESH
521201,Nuzvid,ANDHRA PRADESH
517645,Srikalahasti,ANDHRA PRADESH
524002,Nellore,ANDHRA PRADESH
515134,Puttaparthy,ANDHRA PRADESH
521134,Penamaluru Mandal,ANDHRA PRADESH
522009,Medikonduru,ANDHRA PRADESH
532203,Tekkali Mandal,ANDHRA PRADESH
530053,Gajuwaka,ANDHRA PRADESH
532186,Amadalavalasa,ANDHRA PRADESH
533428,Addatigala,ANDHRA PRADESH
533401,Tuni,ANDHRA PRADESH
533406,Sankhavaram,ANDHRA PRADESH
533449,Gollaprolu,ANDHRA PRADESH
533430,Prathipadu,ANDHRA PRADESH
533445,Gollaprolu,ANDHRA PRADESH
533435,Jaggampeta,ANDHRA PRADESH
533431,Kirlampudi,ANDHRA PRADESH
533407,Kotananduru,ANDHRA PRADESH
533447,Kothapalli,ANDHRA PRADESH
533450,Pithapuram,ANDHRA PRADESH
533433,Pithapuram,ANDHRA PRADESH
533437,Peddapuram,ANDHRA PRADESH
533432,Prathipadu,ANDHRA PRADESH
533436,Rajavommangi,ANDHRA PRADESH
533291,Rangampeta,ANDHRA PRADESH
533440,Samalkota,ANDHRA PRADESH
533446,Sankhavaram,ANDHRA PRADESH
533408,Thondangi,ANDHRA PRADESH
533448,Kothapalli,ANDHRA PRADESH
533434,Samalkot,ANDHRA PRADESH
533429,Yeleswaram,ANDHRA PRADESH
533483,Y Ramavaram,ANDHRA PRADESH
533005,Kakinada (Urban),ANDHRA PRADESH
533003,Kakinada (Urban),ANDHRA PRADESH
533002,Kakinada (Urban),ANDHRA PRADESH
533461,Tallarevu,ANDHRA PRADESH
533004,Kakinada (Urban),ANDHRA PRADESH
533001,Kakinada (Urban),ANDHRA PRADESH
533468,Kajuluru,ANDHRA PRADESH
533348,Y Ramavaram,ANDHRA PRADESH
533351,Yatapaka,ANDHRA PRADESH
533347,Chintoor Mandal,ANDHRA PRADESH
533352,Yatapaka,ANDHRA PRADESH
522612,Durgi,ANDHRA PRADESH
522658,Ipuru,ANDHRA PRADESH
522614,Karempudi,ANDHRA PRADESH
522647,Narasaraopet,ANDHRA PRADESH
522661,Vinukonda,ANDHRA PRADESH
522601,Narasaraopet,ANDHRA PRADESH
522615,Nekarikallu,ANDHRA PRADESH
522660,Nuzendla,ANDHRA PRADESH
522649,Narasaraopet,ANDHRA PRADESH
522529,Phirangipuram,ANDHRA PRADESH
522603,Narasaraopet,ANDHRA PRADESH
522617,Rompicherla,ANDHRA PRADESH
522549,Nadendla,ANDHRA PRADESH
522659,Nuzendla,ANDHRA PRADESH
522646,Savalyapuram,ANDHRA PRADESH
522657,Vinukonda,ANDHRA PRADESH
522647,Vinukonda,ANDHRA PRADESH
522616,Narasaraopet,ANDHRA PRADESH
522233,Edlapadu,ANDHRA PRADESH
522619,Nadendla,ANDHRA PRADESH
522611,Chilakaluripet,ANDHRA PRADESH
522626,Chilakaluripet,ANDHRA PRADESH
522234,Nadendla,ANDHRA PRADESH
522409,Atchampet,ANDHRA PRADESH
522411,Bellamkonda,ANDHRA PRADESH
522437,Sattenapalle,ANDHRA PRADESH
522414,Dachepalle,ANDHRA PRADESH
522403,Sattenapalle,ANDHRA PRADESH
522415,Gurazalla,ANDHRA PRADESH
522410,Krosuru,ANDHRA PRADESH
522426,Macherla,ANDHRA PRADESH
522435,Sattenapalle,ANDHRA PRADESH
522438,Medikonduru,ANDHRA PRADESH
522408,Muppalla,ANDHRA PRADESH
522436,Pedakurapadu,ANDHRA PRADESH
522402,Pedakurpadu,ANDHRA PRADESH
522413,Piduguralla,ANDHRA PRADESH
522426,Narasaraopet,ANDHRA PRADESH
522412,Rajupalem,ANDHRA PRADESH
522421,Rentachintala,ANDHRA PRADESH
522401,Medikonduru,ANDHRA PRADESH
522613,Veldurthy,ANDHRA PRADESH
522439,Macherla,ANDHRA PRADESH
523111,Kanigiri,ANDHRA PRADESH
523117,Kanigiri,ANDHRA PRADESH
523228,Kanigiri,ANDHRA PRADESH
523230,Kanigiri,ANDHRA PRADESH
523252,Kanigiri,ANDHRA PRADESH
523254,Kanigiri,ANDHRA PRADESH
523253,Kanigiri,ANDHRA PRADESH
523224,Kanigiri,ANDHRA PRADESH
523201,Ongole,ANDHRA PRADESH
523001,Ongole,ANDHRA PRADESH
523180,Ongole,ANDHRA PRADESH
523226,Ongole,ANDHRA PRADESH
523280,Ongole,ANDHRA PRADESH
523182,Ongole,ANDHRA PRADESH
523303,Ongole,ANDHRA PRADESH
523171,,ANDHRA PRADESH
523155,Chirala,ANDHRA PRADESH
523135,Chirala,ANDHRA PRADESH
523157,Chirala,ANDHRA PRADESH
523190,Chirala,ANDHRA PRADESH
523167,Chirala,ANDHRA PRADESH
523166,Chirala,ANDHRA PRADESH
523165,Chirala,ANDHRA PRADESH
523181,Chirala,ANDHRA PRADESH
523168,Chirala,ANDHRA PRADESH
523156,Chirala,ANDHRA PRADESH
523184,Chirala,ANDHRA PRADESH
523169,Chirala,ANDHRA PRADESH
523187,Vetapalem,ANDHRA PRADESH
523185,Chirala,ANDHRA PRADESH
523170,Chirala,ANDHRA PRADESH
523187,Chirala,ANDHRA PRADESH
523281,Kandukur,ANDHRA PRADESH
523271,Kandukur,ANDHRA PRADESH
523105,Kandukur,ANDHRA PRADESH
523270,Kandukur,ANDHRA PRADESH
523114,Kandukur,ANDHRA PRADESH
523115,Kandukur,ANDHRA PRADESH
523273,Kandukur,ANDHRA PRADESH
523113,Kandukur,ANDHRA PRADESH
523109,Kandukur,ANDHRA PRADESH
523291,Kandukur,ANDHRA PRADESH
523101,Kandukur,ANDHRA PRADESH
523274,Kandukur,ANDHRA PRADESH
523274,Tangutur,ANDHRA PRADESH
523292,Kandukur,ANDHRA PRADESH
523279,Kandukur,ANDHRA PRADESH
523116,Kandukur,ANDHRA PRADESH
523104,Kandukur,ANDHRA PRADESH
523110,Kanigiri,ANDHRA PRADESH
523112,Kanigiri,ANDHRA PRADESH
523247,Kanigiri,ANDHRA PRADESH
523246,Kanigiri,ANDHRA PRADESH
523227,Kanigiri,ANDHRA PRADESH
523241,Kanigiri,ANDHRA PRADESH
523304,Kanigiri,ANDHRA PRADESH
523223,Kanigiri,ANDHRA PRADESH
523265,Kanigiri,ANDHRA PRADESH
523108,Kanigiri,ANDHRA PRADESH
523245,Kanigiri,ANDHRA PRADESH
523286,Ongole,ANDHRA PRADESH
523002,Ongole,ANDHRA PRADESH
523211,Ongole,ANDHRA PRADESH
523301,Ongole,ANDHRA PRADESH
523212,Ongole,ANDHRA PRADESH
523261,Ongole,ANDHRA PRADESH
523183,Ongole,ANDHRA PRADESH
523213,Ongole,ANDHRA PRADESH
523302,Ongole,ANDHRA PRADESH
523225,Ongole,ANDHRA PRADESH
523264,Ongole,ANDHRA PRADESH
523263,Ongole,ANDHRA PRADESH
523262,Ongole,ANDHRA PRADESH
523186,Ongole,ANDHRA PRADESH
523260,Ongole,ANDHRA PRADESH
533101,Rajahmundry (Urban),ANDHRA PRADESH
533104,Rajahmundry (Urban),ANDHRA PRADESH
533103,Rajahmundry (Urban),ANDHRA PRADESH
533339,Devipatnam,ANDHRA PRADESH
533292,Korukonda,ANDHRA PRADESH
533125,,ANDHRA PRADESH
533286,Gokavaram,ANDHRA PRADESH
533105,Rajahmundry (Urban),ANDHRA PRADESH
533124,Rajahmundry Rural,ANDHRA PRADESH
533126,Kadiyam,ANDHRA PRADESH
533289,Korukonda,ANDHRA PRADESH
533290,Korukonda,ANDHRA PRADESH
533295,Maredumilli,ANDHRA PRADESH
533106,Rajahmundry (Urban),ANDHRA PRADESH
533294,Rajanagaram,ANDHRA PRADESH
533288,Rampachodavaram,ANDHRA PRADESH
533287,Sithanagaram,ANDHRA PRADESH
533293,Rajahmundry Rural,ANDHRA PRADESH
533343,Bikkavolu,ANDHRA PRADESH
533261,Rayavaram,ANDHRA PRADESH
533263,Pamarru,ANDHRA PRADESH
533262,Ramachandrapuram,ANDHRA PRADESH
533306,Pamarru,ANDHRA PRADESH
533305,Pamarru,ANDHRA PRADESH
533345,Bikkavolu,ANDHRA PRADESH
533256,Ramachandrapuram,ANDHRA PRADESH
533346,Rayavaram,ANDHRA PRADESH
533233,Alamuru,ANDHRA PRADESH
533342,Anaparthy,ANDHRA PRADESH
533307,Kapileswarapuram,ANDHRA PRADESH
533232,Alamuru,ANDHRA PRADESH
533341,Mandapeta,ANDHRA PRADESH
533309,Kapileswarapuram,ANDHRA PRADESH
533264,Anaparthy,ANDHRA PRADESH
533308,Mandapeta,ANDHRA PRADESH
533340,Mandapeta,ANDHRA PRADESH
533234,Mandapeta,ANDHRA PRADESH
533285,Gokavaram,ANDHRA PRADESH
516330,Pulivendla,ANDHRA PRADESH
524319,Kodavaluru,ANDHRA PRADESH
524347,Nellore,ANDHRA PRADESH
522238,Guntur,ANDHRA PRADESH
534320,Penugonda (mdl),ANDHRA PRADESH
534124,Penumantra (mdl),ANDHRA PRADESH
534328,Peravali (mdl),ANDHRA PRADESH
534327,Poduru (mdl),ANDHRA PRADESH
534238,Penumantra (mdl),ANDHRA PRADESH
534247,Viravasaram (mdl),ANDHRA PRADESH
534208,Bhimavaram,ANDHRA PRADESH
534275,Narasapuram,ANDHRA PRADESH
534275,Narsapur (mdl),ANDHRA PRADESH
534211,Tanuku,ANDHRA PRADESH
534326,Penugonda (mdl),ANDHRA PRADESH
534280,Narsapur (mdl),ANDHRA PRADESH
534202,Bhimavaram,ANDHRA PRADESH
534201,Bhimavaram,ANDHRA PRADESH
534204,Kalla (mdl),ANDHRA PRADESH
534243,Palakoderu (mdl),ANDHRA PRADESH
534207,Bhimavaram(mdl),ANDHRA PRADESH
534199,Undi (mdl),ANDHRA PRADESH
534324,Penugonda (mdl),ANDHRA PRADESH
534222,Velpur (mdl),ANDHRA PRADESH
534215,Tanuku (mdl),ANDHRA PRADESH
534245,Viravasaram (mdl),ANDHRA PRADESH
534216,Vundrajavaram (mdl),ANDHRA PRADESH
534236,Kalla (mdl),ANDHRA PRADESH
534235,Akividu (mdl),ANDHRA PRADESH
534126,,ANDHRA PRADESH
534230,Attili (mdl),ANDHRA PRADESH
534123,Atchanta (mdl),ANDHRA PRADESH
534239,Bhimavaram (mdl),ANDHRA PRADESH
534266,Ellamanchili (mdl),ANDHRA PRADESH
534268,Ellamanchili (mdl),ANDHRA PRADESH
534267,Poduru (mdl),ANDHRA PRADESH
534217,Iragavaram (mdl),ANDHRA PRADESH
534265,Palakol (mdl),ANDHRA PRADESH
534237,Kalla (mdl),ANDHRA PRADESH
534338,Poduru(mdl),ANDHRA PRADESH
534330,Peravali (mdl),ANDHRA PRADESH
534269,Atchanta (mdl),ANDHRA PRADESH
534240,Viravasaram(mdl),ANDHRA PRADESH
534206,Kalla (mdl),ANDHRA PRADESH
534260,Palacole,ANDHRA PRADESH
534250,Viravasaram(mdl),ANDHRA PRADESH
534218,Tanuku (mdl),ANDHRA PRADESH
534122,Penumantra (mdl),ANDHRA PRADESH
534209,Palakoderu (mdl),ANDHRA PRADESH
534281,Mogalturu(mdl),ANDHRA PRADESH
534227,U.varam(mdl),ANDHRA PRADESH
534210,Palakoderu (mdl),ANDHRA PRADESH
534244,Palakoderu(mdl),ANDHRA PRADESH
517370,Madanapalle,ANDHRA PRADESH
517351,Madanapalle,ANDHRA PRADESH
517319,Madanapalle,ANDHRA PRADESH
517257,Madanpalle,ANDHRA PRADESH
517325,Madanapalle,ANDHRA PRADESH
517350,Madanapalle,ANDHRA PRADESH
517326,Madanapalle,ANDHRA PRADESH
517417,Madanapalle,ANDHRA PRADESH
517390,Madanapalle,ANDHRA PRADESH
517408,Palamaner,ANDHRA PRADESH
517124,Chittoor,ANDHRA PRADESH
517403,Chittoor,ANDHRA PRADESH
517001,Chittoor,ANDHRA PRADESH
517421,Chittoor,ANDHRA PRADESH
517599,Chittoor,ANDHRA PRADESH
517422,Chittoor,ANDHRA PRADESH
517280,Madanapalle,ANDHRA PRADESH
517391,Madanapalle,ANDHRA PRADESH
517247,Madanapalle,ANDHRA PRADESH
517352,Madanapalle,ANDHRA PRADESH
517414,Madanapalle,ANDHRA PRADESH
517123,Madanapalle,ANDHRA PRADESH
517129,Arugonda,ANDHRA PRADESH
517002,Chittoor,ANDHRA PRADESH
517004,Chittoor,ANDHRA PRADESH
517125,Chittoor,ANDHRA PRADESH
517130,Chittoor,ANDHRA PRADESH
517128,Yadamarri,ANDHRA PRADESH
517131,Chittoor,ANDHRA PRADESH
517167,Chittoor,ANDHRA PRADESH
517127,Chittoor,ANDHRA PRADESH
517132,Chittoor,ANDHRA PRADESH
517419,Chittoor,ANDHRA PRADESH
517126,Chittoor,ANDHRA PRADESH
517418,Madanapalle,ANDHRA PRADESH
517425,Palamaner,ANDHRA PRADESH
517423,Palamaner,ANDHRA PRADESH
517401,Palamaner,ANDHRA PRADESH
517424,Palamaner,ANDHRA PRADESH
517415,Palamaner,ANDHRA PRADESH
517432,Palamaner,ANDHRA PRADESH
517429,Palamaner,ANDHRA PRADESH
517416,Palamaner,ANDHRA PRADESH
524409,Sydapuram,ANDHRA PRADESH
524343,Kaluvoya,ANDHRA PRADESH
524345,Podalakur,ANDHRA PRADESH
524408,Rapur,ANDHRA PRADESH
524309,Podalakur,ANDHRA PRADESH
524404,Balayapalli,ANDHRA PRADESH
524406,Gudur,ANDHRA PRADESH
524134,Dakkili,ANDHRA PRADESH
524101,Gudur,ANDHRA PRADESH
524410,Gudur,ANDHRA PRADESH
524411,Kota,ANDHRA PRADESH
524415,Vakadu,ANDHRA PRADESH
524132,Venkatagiri,ANDHRA PRADESH
524413,Vakadu,ANDHRA PRADESH
524402,Vojili,ANDHRA PRADESH
524412,Gudur,ANDHRA PRADESH
524131,Gudur,ANDHRA PRADESH
524405,Manubolu,ANDHRA PRADESH
524323,Venkatachalam,ANDHRA PRADESH
524321,Survepalli,ANDHRA PRADESH
524407,Sydapuram,ANDHRA PRADESH
524320,Venkatachalam,ANDHRA PRADESH
524123,Sullurpeta,ANDHRA PRADESH
524403,Chittamur,ANDHRA PRADESH
524421,Naidupeta,ANDHRA PRADESH
524126,Naidupeta,ANDHRA PRADESH
524129,Pellakur,ANDHRA PRADESH
524121,Sullurpeta,ANDHRA PRADESH
524124,Sullurpeta,ANDHRA PRADESH
524401,Tada,ANDHRA PRADESH
524127,Chittamur,ANDHRA PRADESH
524341,Chejerla,ANDHRA PRADESH
524342,Kaluvoya,ANDHRA PRADESH
524414,Rapur,ANDHRA PRADESH
533344,Pedapudi,ANDHRA PRADESH
533006,Kakinada Rural,ANDHRA PRADESH
533462,Karapa,ANDHRA PRADESH
533463,Tallarevu,ANDHRA PRADESH
533016,Kakinada (Urban),ANDHRA PRADESH
533260,Karapa,ANDHRA PRADESH
517646,Satyavedu,ANDHRA PRADESH
534444,Kukunoor,ANDHRA PRADESH
517507,Tirupati,ANDHRA PRADESH
522034,Guntur,ANDHRA PRADESH
516005,CUDDAPAH,ANDHRA PRADESH
505416,Peddapalli,ANDHRA PRADESH
523272,,ANDHRA PRADESH
522663,Narasaraopet,ANDHRA PRADESH
534134,Attili (mdl),ANDHRA PRADESH
533284,Gangavaram,ANDHRA PRADESH
533296,Rajanagaram,ANDHRA PRADESH
533102,Rajahmundry Rural,ANDHRA PRADESH
533107,Rajahmundry Rural,ANDHRA PRADESH
533297,Gandepalli,ANDHRA PRADESH
533444,Gollaprolu,ANDHRA PRADESH
534225,Iragavaram(mdl),ANDHRA PRADESH
517426,Kuppam,ANDHRA PRADESH
523214,Prakasam,ANDHRA PRADESH
533101,Rajahmundry Rural,ANDHRA PRADESH
523201,Addanki,ANDHRA PRADESH
533201,Amalapuram,ANDHRA PRADESH
533242,Razole,ANDHRA PRADESH
531001,Anakapalle,ANDHRA PRADESH
531116,Narsipatnam,ANDHRA PRADESH
515001,Anantapur,ANDHRA PRADESH
534201,Bhimavaram (mdl),ANDHRA PRADESH
534260,Palakol(mdl),ANDHRA PRADESH
534211,Tanuku (mdl),ANDHRA PRADESH
516001,Cuddapah,ANDHRA PRADESH
516115,Rajampet,ANDHRA PRADESH
534001,Eluru,ANDHRA PRADESH
534447,J.r.gudem,ANDHRA PRADESH
521301,Gudivada,ANDHRA PRADESH
515801,Guntakal,ANDHRA PRADESH
522002,Guntur,ANDHRA PRADESH
522503,Mangalagiri,ANDHRA PRADESH
533349,VR puram,ANDHRA PRADESH
533350,Kunavaram,ANDHRA PRADESH
515201,Hindupur,ANDHRA PRADESH
515671,Dharmavaram,ANDHRA PRADESH
533001,Kakinada,ANDHRA PRADESH
533440,Kakinada,ANDHRA PRADESH
518501,Nandyal,ANDHRA PRADESH
523316,Markapur,ANDHRA PRADESH
524001,Nellore,ANDHRA PRADESH
524201,Kavali,ANDHRA PRADESH
535501,Parvathipuram,ANDHRA PRADESH
535558,Bobbili,ANDHRA PRADESH
523240,Kanigiri,ANDHRA PRADESH
533101,Rajahmundry,ANDHRA PRADESH
533255,Ramachandrapuram,ANDHRA PRADESH
521001,Bandar,ANDHRA PRADESH
521121,Avanigadda,ANDHRA PRADESH
532001,Srikakulam,ANDHRA PRADESH
532185,Amadalavalasa,ANDHRA PRADESH
532201,Tekkali,ANDHRA PRADESH
520001,Krishna,ANDHRA PRADESH
534101,Tadepalligudem,ANDHRA PRADESH
534350,Kovvur,ANDHRA PRADESH
